,Pclass,SibSp,Parch,sex_no,embarked_no,fare_scaled,deck_number,cabin_count,age_scaled,Survived
0,3,1,0,1,3,-0.0487073701217,0,0,-0.0967468917700279,0
1,1,1,0,0,1,0.0762773076987,3,1,0.10430864982333728,1
2,3,0,0,0,3,-0.047389857865900005,0,0,-0.046483006371686605,1
3,1,1,0,0,3,0.0407858697717,3,1,0.0666107357745813,1
4,3,0,0,1,3,-0.0471458741149,0,0,0.0666107357745813,0
5,3,0,0,1,2,-0.0463489255904,0,0,,0
6,1,0,0,1,3,0.0383704306361,5,1,0.30536419141670246,0
7,3,3,1,1,3,-0.021722767253099996,0,0,-0.3480663187617344,0
8,3,0,2,0,3,-0.041127673317400006,0,0,-0.033917035022101284,1
9,2,1,0,0,1,-0.00416413502993,0,0,-0.19727466256671047,1
10,3,1,1,0,3,-0.0302621985407,7,1,-0.3229343760625637,1
11,1,0,0,0,3,-0.0110362789561,3,1,0.3556280768150437,1
12,3,0,0,1,3,-0.0471458741149,0,0,-0.12187883446919855,0
13,3,1,5,1,3,-0.00181369316559,0,0,0.11687462117292259,0
14,3,0,0,0,3,-0.0475280502626,0,0,-0.19727466256671047,0
15,2,0,0,0,3,-0.031628507546700005,0,0,0.31793016276628777,1
16,3,4,1,1,2,-0.0060102136840399995,0,0,-0.3480663187617344,0
17,2,0,0,1,3,-0.0374841175724,0,0,,1
18,3,1,0,0,3,-0.0277247675295,0,0,0.01634685037624001,0
19,3,0,0,0,1,-0.048756166872,0,0,,1
20,2,0,0,1,3,-0.0121098074609,0,0,0.0666107357745813,0
21,2,0,0,1,3,-0.0374841175724,4,1,0.05404476442499598,1
22,3,0,0,0,2,-0.047186473011099996,0,0,-0.18470869121712516,1
23,1,0,0,1,3,0.00643295762066,1,1,-0.02135106367251596,1
24,3,3,1,0,3,-0.021722767253099996,0,0,-0.27267049066422244,0
25,3,1,5,0,3,-0.0015941077896300003,0,0,0.10430864982333728,1
26,3,0,0,1,1,-0.048756166872,0,0,,0
27,1,3,2,1,3,0.450483384573,3,3,-0.13444480581878387,0
28,3,0,0,0,2,-0.0474792535123,0,0,,1
29,3,0,0,1,3,-0.047446852470199995,0,0,,0
30,1,0,0,1,1,-0.00875102955009,0,0,0.12944059252250792,0
31,1,1,0,0,1,0.223131127469,2,1,,1
32,3,0,0,0,2,-0.0477314351174,0,0,,1
33,2,0,0,1,3,-0.0423637925939,0,0,0.45615584761172634,0
34,1,1,0,1,1,0.0975282924171,0,0,-0.02135106367251596,0
35,1,1,0,1,3,0.0386388127622,0,0,0.15457253522167858,0
36,3,0,0,1,1,-0.0487479690179,0,0,,1
37,3,0,0,1,3,-0.0471458741149,0,0,-0.10931286311961322,0
38,3,2,0,0,3,-0.0277247675295,0,0,-0.1470107771683692,0
39,3,1,0,0,1,-0.0409160906085,0,0,-0.19727466256671047,1
40,3,1,0,0,3,-0.0443644593526,0,0,0.12944059252250792,0
41,2,1,0,0,3,-0.021869157503800002,0,0,-0.033917035022101284,0
42,3,0,0,1,1,-0.047446852470199995,0,0,,0
43,2,1,2,0,1,0.018298765776799997,0,0,-0.335500347412149,1
44,3,0,0,0,2,-0.0474792535123,0,0,-0.13444480581878387,1
45,3,0,0,1,3,-0.0471458741149,0,0,,0
46,3,1,0,1,2,-0.032604442551,0,0,,0
47,3,0,0,0,2,-0.0477314351174,0,0,,1
48,3,2,0,1,1,-0.020543447393900002,0,0,,0
49,3,1,0,0,3,-0.0281151415312,0,0,-0.1470107771683692,0
50,3,4,1,1,3,0.0146064132816,0,0,-0.28523646201380776,0
51,3,0,0,1,3,-0.047633841617,0,0,-0.10931286311961322,0
52,1,1,0,0,1,0.08690699657839998,4,1,0.24253433466877583,1
53,2,1,0,0,3,-0.0121098074609,0,0,-0.008785092322930637,1
54,1,0,1,1,1,0.0581169139519,2,1,0.443589876262141,0
55,1,0,0,1,3,0.00643295762066,3,1,,1
56,2,0,0,0,3,-0.0423637925939,0,0,-0.10931286311961322,1
57,3,0,0,1,1,-0.0487479690179,0,0,-0.015068077997723299,0
58,2,1,2,0,3,-0.00869403494584,0,0,-0.3103684047129784,1
59,3,5,2,1,3,0.0286842757185,0,0,-0.23497257661546644,0
60,3,0,0,1,1,-0.0487479690179,0,0,-0.0967468917700279,0
61,1,0,0,0,0,0.09329117300249999,2,1,0.10430864982333728,1
62,1,1,0,1,3,0.100073921282,3,1,0.19227044927043455,0
63,3,3,2,1,3,-0.00840125444455,0,0,-0.3229343760625637,0
64,1,0,0,1,1,-0.00875102955009,0,0,,0
65,3,1,1,1,1,-0.033100607907099996,0,0,,1
66,2,0,0,0,3,-0.0423637925939,6,1,-0.008785092322930637,1
67,3,0,0,1,3,-0.0469344865929,0,0,-0.13444480581878387,0
68,3,4,2,0,3,-0.047389857865900005,0,0,-0.1595767485179545,1
69,3,2,0,1,3,-0.04595035373459999,0,0,-0.046483006371686605,0
70,2,0,0,1,3,-0.0423637925939,0,0,0.028912821725825332,0
71,3,5,2,0,3,0.0286842757185,0,0,-0.17214271986753985,0
72,2,0,0,1,3,0.0806040179467,0,0,-0.10931286311961322,0
73,3,1,0,1,1,-0.0346457082059,0,0,-0.046483006371686605,0
74,3,0,0,1,3,0.0474140299468,0,0,0.028912821725825332,1
75,3,0,0,1,3,-0.047926622118300004,6,2,-0.05904897772127193,0
76,3,0,0,1,3,-0.047446852470199995,0,0,,0
77,3,0,0,1,3,-0.0471458741149,0,0,,0
78,2,0,2,1,3,-0.0062541974351199995,0,0,-0.3627685052407492,1
79,3,0,0,0,3,-0.038508849326900005,0,0,0.0037808790266546863,1
80,3,0,0,1,3,-0.0452915976067,0,0,-0.0967468917700279,0
81,3,0,0,1,3,-0.0443156626024,0,0,-0.008785092322930637,1
82,3,0,0,0,2,-0.0476582399921,0,0,,1
83,1,0,0,1,3,0.0290746497202,0,0,-0.02135106367251596,0
84,2,0,0,0,3,-0.0423637925939,0,0,-0.1595767485179545,1
85,3,3,0,0,3,-0.0319212880479,0,0,0.04147879307541066,1
86,3,1,3,1,3,0.004237103861,0,0,-0.17214271986753985,0
87,3,0,0,1,3,-0.0471458741149,0,0,,0
88,1,3,2,0,3,0.450483384573,3,3,-0.08418092042044258,1
89,3,0,0,1,3,-0.0471458741149,0,0,-0.07161494907085725,0
90,3,0,0,1,3,-0.0471458741149,0,0,-0.008785092322930637,0
91,3,0,0,1,3,-0.0475280502626,0,0,-0.12187883446919855,0
92,1,1,0,1,3,0.056547220091,5,1,0.20483642062001986,0
93,3,1,2,1,3,-0.022698702257400002,0,0,-0.046483006371686605,0
94,3,0,0,1,3,-0.0487073701217,0,0,0.3681940481646291,0
95,3,0,0,1,3,-0.0471458741149,0,0,,0
96,1,0,0,1,1,0.0047820659674,1,1,0.518985704359653,0
97,1,0,1,1,1,0.0608087378807,4,2,-0.08418092042044258,1
98,2,0,1,0,3,-0.017965417486599997,0,0,0.05404476442499598,1
99,2,1,0,1,3,-0.0121098074609,0,0,0.05404476442499598,0
100,3,0,0,0,3,-0.047446852470199995,0,0,-0.02135106367251596,0
101,3,0,0,1,3,-0.047446852470199995,0,0,,0
102,1,0,1,1,3,0.0879967256042,4,1,-0.10931286311961322,0
103,3,0,0,1,3,-0.0459665542557,0,0,0.04147879307541066,0
104,3,2,0,1,3,-0.047389857865900005,0,0,0.09174267847375195,0
105,3,0,0,1,3,-0.047446852470199995,0,0,-0.02135106367251596,0
106,3,0,0,0,3,-0.047926622118300004,0,0,-0.10931286311961322,1
107,3,0,0,1,3,-0.0476826383672,0,0,,1
108,3,0,0,1,3,-0.047446852470199995,0,0,0.10430864982333728,0
109,3,1,0,0,2,-0.015720766976700003,0,0,,1
110,1,0,0,1,3,0.0386388127622,3,1,0.21740239196960517,0
111,3,1,0,0,1,-0.0346457082059,0,0,-0.19099167689191782,0
112,3,0,0,1,3,-0.0471458741149,0,0,-0.0967468917700279,0
113,3,1,0,0,3,-0.0436813048496,0,0,-0.12187883446919855,0
114,3,0,0,0,1,-0.0346377055389,0,0,-0.1595767485179545,0
115,3,0,0,1,3,-0.047389857865900005,0,0,-0.10931286311961322,0
116,3,0,0,1,2,-0.0477314351174,0,0,0.5127027186848603,0
117,2,1,0,1,3,-0.021869157503800002,0,0,-0.008785092322930637,0
118,1,0,1,1,1,0.420269998336,2,2,-0.07161494907085725,0
119,3,4,2,0,3,-0.00181369316559,0,0,-0.3480663187617344,0
120,2,2,0,1,3,0.0806040179467,0,0,-0.10931286311961322,0
121,3,0,0,1,3,-0.0471458741149,0,0,,0
122,2,1,0,1,1,-0.00416413502993,0,0,0.03519580740061799,0
123,2,0,0,0,3,-0.0374841175724,5,1,0.03519580740061799,1
124,1,0,1,1,3,0.0879967256042,4,1,0.30536419141670246,0
125,3,1,0,1,1,-0.0409160906085,0,0,-0.22240660526588113,1
126,3,0,0,1,2,-0.0477314351174,0,0,,0
127,3,0,0,1,3,-0.0489187576437,0,0,-0.07161494907085725,1
128,3,1,1,0,1,-0.0192179324711,6,2,,1
129,3,0,0,1,3,-0.049244134374099996,0,0,0.19227044927043455,0
130,3,0,0,1,1,-0.047446852470199995,0,0,0.04147879307541066,0
131,3,0,0,1,3,-0.0490977441235,0,0,-0.12187883446919855,0
132,3,1,0,0,3,-0.0345563125595,0,0,0.21740239196960517,0
133,2,1,0,0,3,-0.0121098074609,0,0,-0.008785092322930637,1
134,2,0,0,1,3,-0.0374841175724,0,0,-0.05904897772127193,0
135,2,0,0,1,1,-0.033490981908800004,0,0,-0.08418092042044258,0
136,1,0,2,0,3,-0.0115568426874,4,1,-0.13444480581878387,1
137,1,1,0,1,3,0.0407858697717,3,1,0.09174267847375195,0
138,3,0,0,1,3,-0.0448686273759,0,0,-0.17214271986753985,0
139,1,0,0,1,1,0.09172967699560002,2,1,-0.07161494907085725,0
140,3,0,2,0,1,-0.033100607907099996,0,0,,0
141,3,0,0,0,3,-0.0477314351174,0,0,-0.0967468917700279,1
142,3,1,0,0,3,-0.0319212880479,0,0,-0.07161494907085725,1
143,3,0,0,1,2,-0.049683305126,0,0,-0.13444480581878387,0
144,2,0,0,1,3,-0.0404119225853,0,0,-0.1470107771683692,0
145,2,1,1,1,3,0.00887279513138,0,0,-0.13444480581878387,0
146,3,0,0,1,3,-0.0476420394711,0,0,-0.033917035022101284,1
147,3,2,2,0,3,0.004237103861,0,0,-0.26010451931463713,0
148,2,0,2,1,3,-0.0121098074609,6,1,0.08545969279895929,0
149,2,0,0,1,3,-0.0374841175724,0,0,0.15457253522167858,0
150,2,0,0,1,3,-0.038411255826500006,0,0,0.26766627736794646,0
151,1,1,0,0,3,0.0671361148875,3,1,-0.0967468917700279,1
152,3,0,0,1,3,-0.0471458741149,0,0,0.3242131484410804,0
153,3,0,2,1,3,-0.0345563125595,0,0,0.13572357819730058,0
154,3,0,0,1,3,-0.0485853782462,0,0,,0
155,1,0,1,1,1,0.0569457919467,0,0,0.26766627736794646,0
156,3,0,0,0,2,-0.0477640313466,0,0,-0.17214271986753985,1
157,3,0,0,1,3,-0.0471458741149,0,0,0.0037808790266546863,0
158,3,0,0,1,3,-0.04595035373459999,0,0,,0
159,3,8,2,1,3,0.0728941314128,0,0,,0
160,3,0,1,1,3,-0.031433320545799996,0,0,0.1797044779208492,0
161,2,0,0,0,3,-0.0321164750488,0,0,0.12944059252250792,1
162,3,0,0,1,3,-0.0476826383672,0,0,-0.046483006371686605,0
163,3,0,0,1,3,-0.04595035373459999,0,0,-0.1595767485179545,0
164,3,4,1,1,3,0.0146064132816,0,0,-0.3606322901113197,0
165,3,0,2,1,3,-0.0227962957578,0,0,-0.26010451931463713,1
166,1,0,1,0,3,0.044494422788000004,5,1,,1
167,3,1,4,0,3,-0.00840125444455,0,0,0.19227044927043455,0
168,1,0,0,1,3,-0.0122561977115,0,0,,0
169,3,0,0,1,3,0.0474140299468,0,0,-0.02135106367251596,0
170,1,0,0,1,3,0.0025292176035,2,1,0.3933259908637997,0
171,3,4,1,1,2,-0.0060102136840399995,0,0,-0.3229343760625637,0
172,3,1,1,0,3,-0.041127673317400006,0,0,-0.3606322901113197,1
173,3,0,0,1,3,-0.047389857865900005,0,0,-0.10931286311961322,0
174,1,0,0,1,1,-0.00294421627456,1,1,0.3304961341158731,0
175,3,1,1,1,3,-0.0475280502626,0,0,-0.1470107771683692,0
176,3,3,1,1,3,-0.0131507397364,0,0,,0
177,1,0,0,0,1,-0.0068153600625800006,3,1,0.25510030601836114,0
178,2,0,0,1,3,-0.0374841175724,0,0,0.0037808790266546863,0
179,3,0,0,1,3,-0.0628584276839,0,0,0.07917670712416662,0
180,3,8,2,0,3,0.0728941314128,0,0,,0
181,2,0,0,1,1,-0.0334827840548,0,0,,0
182,3,4,2,1,3,-0.0015941077896300003,0,0,-0.26010451931463713,0
183,2,2,1,1,3,0.0132645026507,6,1,-0.3606322901113197,1
184,3,0,2,0,3,-0.019868490745,0,0,-0.3229343760625637,1
185,1,0,0,1,3,0.0347350727451,1,1,,0
186,3,1,0,0,2,-0.032604442551,0,0,,1
187,1,0,0,1,3,-0.0110362789561,0,0,0.19227044927043455,1
188,3,1,1,1,2,-0.032604442551,0,0,0.12944059252250792,0
189,3,0,0,1,3,-0.047446852470199995,0,0,0.07917670712416662,0
190,2,0,0,0,3,-0.0374841175724,0,0,0.028912821725825332,1
191,2,0,0,1,3,-0.0374841175724,0,0,-0.13444480581878387,0
192,3,1,0,0,3,-0.0475280502626,0,0,-0.13444480581878387,1
193,2,1,1,1,3,-0.0121098074609,6,1,-0.335500347412149,1
194,1,0,0,0,1,-0.00875102955009,2,1,0.1797044779208492,1
195,1,0,0,0,1,0.223131127469,2,1,0.3556280768150437,1
196,3,0,0,1,2,-0.0477314351174,0,0,,0
197,3,0,1,1,3,-0.0464545217578,0,0,0.15457253522167858,0
198,3,0,0,0,2,-0.0477314351174,0,0,,1
199,2,0,0,0,3,-0.0374841175724,0,0,-0.07161494907085725,0
200,3,0,0,1,3,-0.0443156626024,0,0,-0.02135106367251596,0
201,3,8,2,1,3,0.0728941314128,0,0,,0
202,3,0,0,1,3,-0.05017947048219999,0,0,0.05404476442499598,0
203,3,0,0,1,1,-0.048756166872,0,0,0.1985534349452272,0
204,3,0,0,1,3,-0.0471458741149,0,0,-0.1470107771683692,1
205,3,0,1,0,3,-0.042436987719199994,7,1,-0.3480663187617344,0
206,3,1,0,1,3,-0.0319212880479,0,0,0.028912821725825332,0
207,3,0,0,1,1,-0.026187669897699998,0,0,-0.046483006371686605,1
208,3,0,0,0,2,-0.0477314351174,0,0,-0.17214271986753985,1
209,1,0,0,1,1,-0.00235045741795,1,1,0.12944059252250792,1
210,3,0,0,1,3,-0.0490977441235,0,0,-0.07161494907085725,0
211,2,0,0,0,3,-0.021869157503800002,0,0,0.0666107357745813,1
212,3,0,0,1,3,-0.0487073701217,0,0,-0.0967468917700279,0
213,2,0,0,1,3,-0.0374841175724,0,0,0.0037808790266546863,0
214,3,1,0,1,2,-0.0477314351174,0,0,,0
215,1,1,0,0,1,0.158239647538,4,1,0.01634685037624001,1
216,3,0,0,0,3,-0.047389857865900005,0,0,-0.033917035022101284,1
217,2,1,0,1,3,-0.010157937452299998,0,0,0.15457253522167858,0
218,1,0,0,0,1,0.08605305344969999,4,1,0.028912821725825332,1
219,2,0,0,1,3,-0.0423637925939,0,0,0.0037808790266546863,0
220,3,0,0,1,3,-0.0471458741149,0,0,-0.17214271986753985,1
221,2,0,0,1,3,-0.0374841175724,0,0,-0.033917035022101284,0
222,3,0,0,1,3,-0.0471458741149,0,0,0.26766627736794646,0
223,3,0,0,1,3,-0.047446852470199995,0,0,,0
224,1,1,0,1,3,0.112809873088,3,1,0.10430864982333728,1
225,3,0,0,1,3,-0.0446084431037,0,0,-0.0967468917700279,0
226,2,0,0,1,3,-0.0423637925939,0,0,-0.13444480581878387,1
227,3,0,0,1,3,-0.0487073701217,0,0,-0.11559584879440589,0
228,2,0,0,1,3,-0.0374841175724,0,0,-0.1470107771683692,0
229,3,3,1,0,3,-0.0131507397364,0,0,,0
230,1,1,0,0,3,0.100073921282,3,1,0.0666107357745813,1
231,3,0,0,1,3,-0.0476826383672,0,0,-0.008785092322930637,0
232,2,0,0,1,3,-0.0365081825681,0,0,0.3681940481646291,0
233,3,4,2,0,3,-0.0015941077896300003,0,0,-0.3103684047129784,1
234,2,0,0,1,3,-0.0423637925939,0,0,-0.07161494907085725,0
235,3,0,0,0,3,-0.0481218091192,0,0,,0
236,2,1,0,1,3,-0.0121098074609,0,0,0.1797044779208492,0
237,2,0,2,0,3,-0.0116218399587,0,0,-0.27267049066422244,1
238,2,0,0,1,3,-0.0423637925939,0,0,-0.13444480581878387,0
239,2,0,0,1,3,-0.0388992233286,0,0,0.04147879307541066,0
240,3,1,0,0,1,-0.0346457082059,0,0,,0
241,3,1,0,0,2,-0.032604442551,0,0,,1
242,2,0,0,1,3,-0.0423637925939,0,0,-0.008785092322930637,0
243,3,0,0,1,3,-0.0489513538728,0,0,-0.0967468917700279,0
244,3,0,0,1,1,-0.048756166872,0,0,0.0037808790266546863,0
245,1,2,0,1,2,0.112809873088,3,1,0.1797044779208492,0
246,3,0,0,0,3,-0.0476826383672,0,0,-0.05904897772127193,0
247,2,0,2,0,3,-0.0345563125595,0,0,-0.07161494907085725,1
248,1,1,1,1,3,0.039720539121,4,1,0.09174267847375195,1
249,2,1,0,1,3,-0.0121098074609,0,0,0.30536419141670246,0
250,3,0,0,1,3,-0.0487073701217,0,0,,0
251,3,1,1,0,3,-0.042436987719199994,7,1,-0.008785092322930637,0
252,1,0,0,1,3,-0.0110362789561,3,1,0.405891962213385,0
253,3,1,0,1,3,-0.031433320545799996,0,0,0.0037808790266546863,0
254,3,0,2,0,3,-0.023406255135499997,0,0,0.14200656387209323,0
255,3,0,2,0,1,-0.033100607907099996,0,0,-0.008785092322930637,1
256,1,0,0,0,1,0.09172967699560002,0,0,,1
257,1,0,0,0,3,0.105978328058,2,1,0.0037808790266546863,1
258,1,0,0,0,1,0.937141572316,0,0,0.0666107357745813,1
259,2,0,1,0,3,-0.0121098074609,0,0,0.25510030601836114,1
260,3,0,0,1,2,-0.0477314351174,0,0,,0
261,3,4,2,1,3,-0.0015941077896300003,0,0,-0.335500347412149,1
262,1,1,1,1,3,0.09260801849950001,5,1,0.2802322487175318,0
263,1,0,0,1,3,-0.0628584276839,2,1,0.12944059252250792,0
264,3,0,0,0,2,-0.0477314351174,0,0,,0
265,2,0,0,1,3,-0.0423637925939,0,0,0.07917670712416662,0
266,3,4,1,1,3,0.0146064132816,0,0,-0.17214271986753985,0
267,3,1,0,1,3,-0.0476826383672,0,0,-0.05904897772127193,1
268,1,0,1,0,3,0.236680423508,3,1,0.3556280768150437,1
269,1,0,0,0,3,0.201880142751,3,1,0.0666107357745813,1
270,1,0,0,1,3,-0.00235045741795,0,0,,0
271,3,0,0,1,3,-0.0628584276839,0,0,-0.05904897772127193,1
272,2,0,1,0,3,-0.0247969625166,0,0,0.14200656387209323,1
273,1,0,1,1,1,-0.004887888429109999,3,1,0.09174267847375195,0
274,3,0,0,0,2,-0.0477314351174,0,0,,1
275,1,1,0,0,3,0.08930604000600001,4,1,0.41845793356297034,1
276,3,0,0,0,3,-0.0477314351174,0,0,0.19227044927043455,0
277,2,0,0,1,3,-0.0628584276839,0,0,,0
278,3,4,1,1,2,-0.0060102136840399995,0,0,-0.28523646201380776,0
279,3,1,1,0,3,-0.0233330600102,0,0,0.0666107357745813,1
280,3,0,0,1,2,-0.0477314351174,0,0,0.443589876262141,0
281,3,0,0,1,3,-0.0475280502626,0,0,-0.02135106367251596,0
282,3,0,0,1,3,-0.0443156626024,0,0,-0.17214271986753985,0
283,3,0,0,1,3,-0.0471458741149,0,0,-0.13444480581878387,1
284,1,0,0,1,3,-0.0121098074609,1,1,,0
285,3,0,0,1,1,-0.04595035373459999,0,0,0.04147879307541066,0
286,3,0,0,1,3,-0.0443156626024,0,0,0.0037808790266546863,1
287,3,0,0,1,3,-0.047446852470199995,0,0,-0.0967468917700279,0
288,2,0,0,1,3,-0.0374841175724,0,0,0.15457253522167858,1
289,3,0,0,0,2,-0.0477314351174,0,0,-0.0967468917700279,1
290,1,0,0,0,3,0.09104652249260001,0,0,-0.046483006371686605,1
291,1,1,0,0,1,0.11491633120200001,2,1,-0.13444480581878387,1
292,2,0,0,1,1,-0.0377281013235,4,1,0.07917670712416662,0
293,3,0,0,0,3,-0.045584378108,0,0,-0.07161494907085725,0
294,3,0,0,1,3,-0.047446852470199995,0,0,-0.07161494907085725,0
295,1,0,0,1,1,-0.00875102955009,0,0,,0
